month,revenue
2006-06-30 23:00:00+00:00,29150.08
2006-07-31 23:00:00+00:00,26882.45
2006-08-31 23:00:00+00:00,27504.88
2006-09-30 23:00:00+00:00,39036.32
2006-10-31 23:00:00+00:00,47751.91
2006-11-30 23:00:00+00:00,48038.22
2006-12-31 23:00:00+00:00,63497.06
2007-01-31 23:00:00+00:00,40085.09
2007-02-28 23:00:00+00:00,40436.04
2007-03-31 23:00:00+00:00,55972.05
2007-04-30 23:00:00+00:00,57242.7
2007-05-31 23:00:00+00:00,38215.47
2007-06-30 23:00:00+00:00,53479.6
2007-07-31 23:00:00+00:00,50365.95
2007-08-31 23:00:00+00:00,58866.32
2007-09-30 23:00:00+00:00,70694.77
2007-10-31 23:00:00+00:00,45542.66
2007-11-30 23:00:00+00:00,75156.41
2007-12-31 23:00:00+00:00,99685.57
2008-01-31 23:00:00+00:00,103688.23
2008-02-29 23:00:00+00:00,110233.21
2008-03-31 23:00:00+00:00,130192.27
2008-04-30 23:00:00+00:00,17754.47
